
戏曲频道,#genre# 
白鹿原,http://cdn.jdshipin.com:8880/huya.php?id=11342416$
YY,#genre#
绝版电影 港片女鬼,http://150.158.112.123/php/yy.php?id=1455988450
港片 喜剧 动作,http://150.158.112.123/php/yy.php?id=1355480591
幸福满院,http://150.158.112.123/php/yy.php?id=1382737886
武林外传 超清,http://150.158.112.123/php/yy.php?id=21092633
【鹿鼎记】金庸经典,http://150.158.112.123/php/yy.php?id=28265277
【狂飙2老默】首播,http://150.158.112.123/php/yy.php?id=1354790484
经典鬼片3000部,http://150.158.112.123/php/yy.php?id=29460894
古惑仔,http://150.158.112.123/php/yy.php?id=1458015189
混沌钟9声响,http://150.158.112.123/php/yy.php?id=1382881708
济公游记,http://150.158.112.123/php/yy.php?id=1355265814
小沈阳春晚小品,http://150.158.112.123/php/yy.php?id=1382749941
狂飙,http://150.158.112.123/php/yy.php?id=1382754187
林正英-经典电影,http://150.158.112.123/php/yy.php?id=34229877
【战狼3吴京】首播,http://150.158.112.123/php/yy.php?id=1456668939
武林外传,http://150.158.112.123/php/yy.php?id=1355652820
纪晓岚,http://150.158.112.123/php/yy.php?id=1354143978
打狗棍  4K超清,http://150.158.112.123/php/yy.php?id=39736069
少年包青天1~3蓝光版,http://150.158.112.123/php/yy.php?id=38498680
家花与野花,http://150.158.112.123/php/yy.php?id=1354420982
【盜暮笔记】24h,http://150.158.112.123/php/yy.php?id=1356373644
港片电影集,http://150.158.112.123/php/yy.php?id=1455225203
火凤凰之战狼七,http://150.158.112.123/php/yy.php?id=1463088777
林正英电影,http://150.158.112.123/php/yy.php?id=1382841203
赵本山《蓝光版》,http://150.158.112.123/php/yy.php?id=32160832
雪豹,http://150.158.112.123/php/yy.php?id=28099939
隋唐英雄传,http://150.158.112.123/php/yy.php?id=1352475619
鹊刀门,http://150.158.112.123/php/yy.php?id=1355344777
英叔僵尸 3000部,http://150.158.112.123/php/yy.php?id=1353685311
豪哥带我们发财,http://150.158.112.123/php/yy.php?id=23402146
83射雕英雄传,http://150.158.112.123/php/yy.php?id=1354210357
纪晓岚,http://150.158.112.123/php/yy.php?id=1352227227
超喜剧地下交通站男神贾贵,http://150.158.112.123/php/yy.php?id=1353428972
李连杰功夫 经典武侠,http://150.158.112.123/php/yy.php?id=74613175
(周星驰)超经典搞笑电影,http://150.158.112.123/php/yy.php?id=29945997
经典港片 3000部,http://150.158.112.123/php/yy.php?id=1353059120
66车讯,http://150.158.112.123/php/yy.php?id=1382571192
知否知否应是绿肥红瘦,http://150.158.112.123/php/yy.php?id=21881901
【战狼3吴京】独播,http://150.158.112.123/php/yy.php?id=37999586
倚天屠龙记,http://150.158.112.123/php/yy.php?id=1449856066
宋小宝小品合集,http://150.158.112.123/php/yy.php?id=1354931577
国内侦探电影大全,http://150.158.112.123/php/yy.php?id=1354936134
正阳门下,http://150.158.112.123/php/yy.php?id=1354931580
动作武侠港片电影,http://150.158.112.123/php/yy.php?id=1459801818
宰相刘罗锅,http://150.158.112.123/php/yy.php?id=1382745191
火蓝刀锋,http://150.158.112.123/php/yy.php?id=1382737892
鹿鼎记-周星驰版,http://150.158.112.123/php/yy.php?id=1354658049
丸子,http://150.158.112.123/php/yy.php?id=1382851588
倚天屠龙记,http://150.158.112.123/php/yy.php?id=1354755003
